片名,年份,制片国家/地区,类型,导演,评分,评价人数,链接
肖申克的救赎,1994,美国,犯罪 剧情,弗兰克·德拉邦特,9.7,1662779,https://movie.douban.com/subject/1292052/
霸王别姬,1993,中国大陆 中国香港,剧情 爱情 同性,陈凯歌,9.6,1228547,https://movie.douban.com/subject/1291546/
阿甘正传,1994,美国,剧情 爱情,罗伯特·泽米吉斯,9.5,1287295,https://movie.douban.com/subject/1292720/
这个杀手不太冷,1994,法国,剧情 动作 犯罪,吕克·贝松,9.4,1480460,https://movie.douban.com/subject/1295644/
美丽人生,1997,意大利,剧情 喜剧 爱情 战争,罗伯托·贝尼尼,9.5,752088,https://movie.douban.com/subject/1292063/
泰坦尼克号,1997,美国,剧情 爱情 灾难,詹姆斯·卡梅隆,9.4,1226186,https://movie.douban.com/subject/1292722/
千与千寻,2001,日本,剧情 动画 奇幻,宫崎骏,9.3,1315112,https://movie.douban.com/subject/1291561/
辛德勒的名单,1993,美国,剧情 历史 战争,史蒂文·斯皮尔伯格,9.5,664019,https://movie.douban.com/subject/1295124/
盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险,克里斯托弗·诺兰,9.3,1260441,https://movie.douban.com/subject/3541415/
忠犬八公的故事,2009,美国 英国,剧情,莱塞·霍尔斯道姆,9.3,851416,https://movie.douban.com/subject/3011091/
机器人总动员,2008,美国,爱情 科幻 动画 冒险,安德鲁·斯坦顿,9.3,835403,https://movie.douban.com/subject/2131459/
三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞,拉库马·希拉尼,9.2,1143125,https://movie.douban.com/subject/3793023/
放牛班的春天,2004,法国 瑞士 德国,剧情 音乐,克里斯托夫·巴拉蒂,9.3,798087,https://movie.douban.com/subject/1291549/
楚门的世界,1998,美国,剧情 科幻,彼得·威尔,9.2,893276,https://movie.douban.com/subject/1292064/
海上钢琴师,1998,意大利,剧情 音乐,朱塞佩·托纳多雷,9.2,921035,https://movie.douban.com/subject/1292001/
星际穿越,2014,美国 英国 加拿大 冰岛,剧情 科幻 冒险,克里斯托弗·诺兰,9.3,912791,https://movie.douban.com/subject/1889243/
大话西游之大圣娶亲,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,刘镇伟,9.2,893413,https://movie.douban.com/subject/1292213/
龙猫,1988,日本,动画 奇幻 冒险,宫崎骏,9.2,779677,https://movie.douban.com/subject/1291560/
熔炉,2011,韩国,剧情,黄东赫,9.3,534160,https://movie.douban.com/subject/5912992/
无间道,2002,中国香港,剧情 犯罪 悬疑,刘伟强,9.2,733689,https://movie.douban.com/subject/1307914/
教父,1972,美国,剧情 犯罪,弗朗西斯·福特·科波拉,9.3,568403,https://movie.douban.com/subject/1291841/
疯狂动物城,2016,美国,喜剧 动画 冒险,拜伦·霍华德,9.2,1039888,https://movie.douban.com/subject/25662329/
当幸福来敲门,2006,美国,剧情 传记 家庭,加布里尔·穆奇诺,9.1,925608,https://movie.douban.com/subject/1849031/
怦然心动,2010,美国,剧情 喜剧 爱情,罗伯·莱纳,9.0,1042107,https://movie.douban.com/subject/3319755/
触不可及,2011,法国,剧情 喜剧,奥利维·那卡什,9.2,603842,https://movie.douban.com/subject/6786002/
蝙蝠侠：黑暗骑士,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,克里斯托弗·诺兰,9.2,606369,https://movie.douban.com/subject/1851857/
活着,1994,中国大陆 中国香港,剧情 历史 家庭,张艺谋,9.2,474392,https://movie.douban.com/subject/1292365/
乱世佳人,1939,美国,剧情 历史 爱情 战争,维克多·弗莱明,9.3,414056,https://movie.douban.com/subject/1300267/
控方证人,1957,美国,剧情 犯罪 悬疑,比利·怀尔德,9.6,218581,https://movie.douban.com/subject/1296141/
少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,李安,9.0,897746,https://movie.douban.com/subject/1929463/
摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭,涅提·蒂瓦里,9.0,913692,https://movie.douban.com/subject/26387939/
指环王3：王者无敌,2003,美国 新西兰,剧情 动作 奇幻 冒险,彼得·杰克逊,9.2,454379,https://movie.douban.com/subject/1291552/
鬼子来了,2000,中国大陆,剧情 历史 战争,姜文,9.2,382917,https://movie.douban.com/subject/1291858/
