subject_id,type,中文名,年份,片长,评分,评价人数,国家,语言,类型,主演,导演,IMDB编号,IMDB_rank,db_rank
1292052,Movie,肖申克的救赎,1994,PT2H22M,9.7,1661782,美国,英语,犯罪/剧情,蒂姆·罗宾斯,弗兰克·德拉邦特,tt0111161,1,1
1291841,Movie,教父,1972,PT2H55M,9.3,568190,美国,英语,剧情/犯罪,马龙·白兰度,弗朗西斯·福特·科波拉,tt0068646,2,21
1299131,Movie,教父2,1974,PT3H22M,9.2,309531,美国,英语,剧情/犯罪,阿尔·帕西诺,弗朗西斯·福特·科波拉,tt0071562,3,53
1851857,Movie,蝙蝠侠：黑暗骑士,2008,PT2H32M,9.2,606230,美国,英语,剧情/动作/科幻/犯罪/惊悚,克里斯蒂安·贝尔,克里斯托弗·诺兰,tt0468569,4,26
1293182,Movie,十二怒汉,1957,PT1H36M,9.4,272638,美国,英语,剧情,亨利·方达,西德尼·吕美特,tt0050083,5,35
1295124,Movie,辛德勒的名单,1993,PT3H15M,9.5,663843,美国,英语,剧情/历史/战争,连姆·尼森,史蒂文·斯皮尔伯格,tt0108052,6,8
1291552,Movie,指环王3：王者无敌,2003,PT3H21M,9.2,454214,美国,英语,剧情/动作/奇幻/冒险,维果·莫腾森,彼得·杰克逊,tt0167260,7,32
1291832,Movie,低俗小说,1994,PT2H34M,8.8,520963,美国,英语,剧情/喜剧/犯罪,约翰·特拉沃尔塔,昆汀·塔伦蒂诺,tt0110912,8,76
1401118,Movie,黄金三镖客,1966,PT2H41M,9.1,74851,意大利,意大利语,冒险/西部,克林特·伊斯特伍德,赛尔乔·莱昂内,tt0060196,9,250
1292000,Movie,搏击俱乐部,1999,PT2H19M,9,566258,美国,英语,剧情/动作/悬疑/惊悚,爱德华·诺顿,大卫·芬奇,tt0137523,10,43
1291571,Movie,指环王1：魔戒再现,2001,PT2H58M,9,474125,新西兰,英语,剧情/动作/奇幻/冒险,伊利亚·伍德,彼得·杰克逊,tt0120737,11,55
1292720,Movie,阿甘正传,1994,PT2H22M,9.5,1286618,美国,英语,剧情/爱情,汤姆·汉克斯,罗伯特·泽米吉斯,tt0109830,12,3
3541415,Movie,盗梦空间,2010,PT2H28M,9.3,1260244,美国,英语,剧情/科幻/悬疑/冒险,莱昂纳多·迪卡普里奥,克里斯托弗·诺兰,tt1375666,14,9
1291572,Movie,指环王2：双塔奇兵,2002,PT2H59M,9,422008,美国,英语,剧情/动作/奇幻/冒险,伊利亚·伍德,彼得·杰克逊,tt0167261,16,51
1291843,Movie,黑客帝国,1999,PT2H16M,8.9,461934,美国,英语,动作/科幻,基努·里维斯,莉莉·沃卓斯基,tt0133093,17,65
1292224,Movie,飞越疯人院,1975,PT2H13M,9.1,388069,美国,英语,剧情,杰克·尼科尔森,米洛斯·福尔曼,tt0073486,18,52
1295399,Movie,七武士,1954,PT2H40M,9.2,114350,日本,日语,动作/冒险/剧情,三船敏郎,黑泽明,tt0047478,20,146
1292223,Movie,七宗罪,1995,PT2H7M,8.8,619637,美国,英语,剧情/犯罪/悬疑/惊悚,摩根·弗里曼,大卫·芬奇,tt0114369,21,75
1292208,Movie,上帝之城,2002,PT2H10M,8.9,207624,巴西,葡萄牙语,犯罪/剧情,亚历桑德雷·罗德里格斯,费尔南多·梅里尔斯,tt0317248,22,132
1292063,Movie,美丽人生,1997,PT1H56M,9.5,752083,意大利,意大利语,剧情/喜剧/爱情/战争,罗伯托·贝尼尼,罗伯托·贝尼尼,tt0118799,23,5
1293544,Movie,沉默的羔羊,1991,PT1H58M,8.8,521318,美国,英语,剧情/犯罪/惊悚,朱迪·福斯特,乔纳森·戴米,tt0102926,24,80
