中文名,22-24年是否放过,版代片,年份,评分,评价人数,国家/地区,导演
天衣无戒：马丁·马吉拉,否,数梦,2019,9.2,2670,德国,Reiner Holzemer
完美的日子,否,数梦,2023,8.5,120570,日本,维姆·文德斯
安塞姆·基弗：流年之声,否,数梦,2023,7.9,2172,德国,维姆·文德斯
想象之光,否,数梦,2024,7.5,13056,法国,帕亚尔·卡帕迪亚
永恒之门,否,欢喜传媒,2018,7,4127,瑞士,朱利安·施纳贝尔
我的舅舅,否,和观,1958,8.5,23774,法国,雅克·塔蒂
傅山进京,否,,2014,暂无评分,暂无评分,中国大陆,张峰
锁麟囊(秦腔),否,,2011,暂无评分,暂无评分,中国大陆,黎涛
这个杀手不太冷,否,,1994,9.4,2478053,法国,吕克·贝松
天空之城,否,,1986,9.2,970450,日本,宫崎骏
哈尔的移动城堡,否,,2004,9.1,1226391,日本,宫崎骏
帝国的毁灭,否,,2004,8.9,124110,德国,奥利弗·希施比格尔
牺牲,否,,1986,8.7,20448,瑞典,安德烈·塔可夫斯基
十五贯,否,,1958,8.5,872,中国大陆,陶金
爱乐之城,否,,2016,8.4,1049891,美国,达米恩·查泽雷
顽主,否,,1988,8.4,105032,中国大陆,米家山
百鸟朝凤,否,,2013,8.3,329532,中国大陆,吴天明
李米的猜想,否,,2008,8.1,405650,中国大陆,曹保平
李慧娘,否,,1981,7.9,297,中国大陆,邓一民
我在故宫修文物,否,,2016,7.6,45245,中国大陆,萧寒
八座山,否,,2022,7.5,4688,意大利,菲力斯·范·古宁根
雾海夜航,否,,1957,7.4,433,中国大陆,俞涛
情长谊深,否,,1957,7.2,173,中国大陆,徐昌霖
地球最后的夜晚,否,,2018,6.9,228545,中国大陆,毕赣
乐士浮生录,,数梦,1999,9,15253,德国,维姆·文德斯
皮娜,,数梦,2011,8.8,18810,德国,维姆·文德斯
麦昆,,数梦,2018,8.6,17856,英国,伊恩·邦霍特
探戈课,,数梦,1997,8.2,4639,英国,莎莉·波特
驾驶我的车,,数梦,2021,7.9,132973,日本,滨口龙介
利维坦,,数梦,2014,7.8,22906,俄罗斯,安德烈·兹维亚金采夫
幻灭,,欢喜传媒,2021,7.6,4490,法国,泽维尔·吉亚诺利
铁皮鼓,,和观,1979,8.3,62859,西德,沃尔克·施隆多夫
白丝带,,和观,2009,8.2,37725,德国,迈克尔·哈内克
最后探戈,,窗外年华,2015,8.6,2896,德国,杰门·克拉尔
茶馆,,,1982,9.6,189778,中国大陆,谢添
地下,,,1995,9.2,78011,南斯拉夫,埃米尔·库斯图里察
姊姊妹妹站起来,,,1951,9.2,22149,中国大陆,陈西禾
群英会,,,1957,9.2,919,中国大陆,岑范
永恒和一日,,,1998,9.1,47766,法国,西奥·安哲罗普洛斯
红楼梦,,,1962,9.1,4972,中国大陆,岑范
雾中风景,,,1988,9,54572,希腊,西奥·安哲罗普洛斯
借东风,,,1957,9,545,中国大陆,岑范
菊次郎的夏天,,,1999,8.9,652582,日本,北野武
女驸马,,,1959,8.9,2353,中国大陆,刘琼
哭泣的草原,,,2004,8.8,20137,希腊,西奥·安哲罗普洛斯
我这一辈子,,,1950,8.8,17874,中国大陆,石挥
野猪林,,,1962,8.8,1009,中国大陆,崔嵬
黑炮事件,,,1986,8.7,56343,中国大陆,黄建新
鲸鱼马戏团,,,2000,8.7,16335,匈牙利,贝拉·塔尔
鹳鸟踟蹰,,,1991,8.7,12212,法国,西奥·安哲罗普洛斯
甜蜜的生活,,,1960,8.6,37789,意大利,费德里科·费里尼
孙悟空三打白骨精,,,1962,8.6,1130,中国大陆,杨小仲
流浪艺人,,,1975,8.5,6393,希腊,西奥·安哲罗普洛斯
风声,,,2009,8.4,644387,中国大陆,陈国富
都灵之马,,,2011,8.4,29954,匈牙利,贝拉·塔尔
太太万岁,,,1947,8.4,20165,中国大陆,桑弧
塞瑟岛之旅,,,1984,8.4,7545,希腊,西奥·安哲罗普洛斯
天仙配,,,1956,8.3,2989,中国大陆,石挥
奇遇,,,1960,8.2,19042,意大利,米开朗基罗·安东尼奥尼
错位,,,1986,8.1,27219,中国大陆,黄建新
养蜂人,,,1986,8.1,6925,法国,西奥·安哲罗普洛斯
关连长,,,1951,8.1,1538,中国大陆,石挥
美国之窗,,,1952,8.1,489,中国大陆,黄佐临
路边野餐,,,2015,8,197827,中国大陆,毕赣
白蛇传·情,,,2019,8,64512,中国大陆,张险峰
勒阿弗尔,,,2011,8,13661,芬兰,阿基·考里斯马基
时光之尘,,,2009,8,8193,希腊,西奥·安哲罗普洛斯
猎人,,,1977,8,2898,法国,西奥·安哲罗普洛斯
寻找智美更登,,,2009,7.9,3635,中国大陆,万玛才旦
罗曼蒂克消亡史,,,2016,7.7,424416,中国大陆,程耳
宋景诗,,,1955,7.7,1134,中国大陆,郑君里
记忆,,,2021,7.6,35745,哥伦比亚,阿彼察邦·韦拉斯哈古
三只猴子,,,2008,7.6,15069,土耳其,努里·比格·锡兰
黄金时代,,,2014,7.4,194680,中国大陆,许鞍华
鸡毛信,,,1954,7.4,13082,中国大陆,石挥
刺客聂隐娘,,,2015,7.3,229268,中国台湾,侯孝贤
母亲,,,1949,7.2,322,中国大陆,石挥
轮回,,,1988,6.9,2513,中国大陆,黄建新
