中文名,22-24年是否放过,版代片,年份,评分,评价人数,国家/地区,导演
大法官金斯伯格,否,数梦,2018,9.5,97848,美国,朱莉·科昂
东京塔,否,蓝媒时代,2007,8.6,41111,日本,松冈锭司
我这一辈子,否,蓝媒时代,2024,6.7,549,法国,索菲亚·菲力瑞斯
影子部队,否,和观,1969,8.5,10681,法国,让-皮埃尔·梅尔维尔
彩蝶双飞,否,,1959,暂无评分,暂无评分,中国香港,徐韬
败家仔,否,,1952,暂无评分,暂无评分,中国香港,吴回
中秋月,否,,1953,暂无评分,暂无评分,中国香港,朱石麟
我是一个女人,否,,1955,暂无评分,暂无评分,中国香港,李萍倩
家家户户,否,,1954,暂无评分,暂无评分,中国香港,秦劍
新红楼梦,否,,1952,暂无评分,暂无评分,中国香港,岳枫
背靠背，脸对脸,否,,1994,9.5,166198,中国大陆,黄建新
这个杀手不太冷,否,,1994,9.4,2478465,法国,吕克·贝松
天空之城,否,,1986,9.2,970739,日本,宫崎骏
哈尔的移动城堡,否,,2004,9.1,1227034,日本,宫崎骏
可可西里,否,,2004,8.9,333572,中国大陆,陆川
帝国的毁灭,否,,2004,8.9,124393,德国,奥利弗·希施比格尔
笼民,否,,1992,8.8,13955,中国香港,张之亮
牺牲,否,,1986,8.7,20460,瑞典,安德烈·塔可夫斯基
顽主,否,,1988,8.4,105074,中国大陆,米家山
罗拉快跑,否,,1998,8.1,258000,德国,汤姆·提克威
三看御妹刘金定,否,,1962,7.9,298,中国香港,李萍倩
败家仔,否,,1981,7.8,10089,中国香港,洪金宝
战争天堂,否,,2016,7.7,4618,俄罗斯,安德烈·康查洛夫斯基
人在纽约,否,,1989,7.5,8537,中国香港,关锦鹏
八座山,否,,2022,7.5,4697,意大利,菲力斯·范·古宁根
同命鸳鸯,否,,1960,7.5,191,中国香港,朱石麟
父子情,否,,1981,7.4,1521,中国香港,方育平
金鹰,否,,1964,7.2,121,中国香港,陈静波
故园春梦,否,,1964,6.9,493,中国香港,朱石麟
世界儿女,否,,1941,6.8,368,中国大陆,雅各布·弗莱克
碧水寒山夺命金,否,,1980,6.3,1146,中国香港,金扬桦
戈壁恩仇录,否,,1987,6.2,907,中国香港,许鞍华
超脱,,数梦,2011,9,690937,美国,托尼·凯耶
摩托日记,,数梦,2004,8.5,64560,阿根廷,沃尔特·塞勒斯
德州巴黎,,数梦,1984,8.4,84735,西德,维姆·文德斯
佛罗里达乐园,,数梦,2017,8.1,125966,美国,肖恩·贝克
法式火锅,,数梦,2023,7.7,27950,法国,陈英雄
诗,,和观,2010,8.7,67295,韩国,李沧东
原始星球,,和观,1973,8.7,35250,法国,阿内·拉鲁
恐惧的代价,,和观,1953,8.6,15794,法国,亨利-乔治·克鲁佐
穆赫兰道,,和观,2001,8.4,482783,法国,大卫·林奇
恶魔,,和观,1955,8.4,20661,法国,亨利-乔治·克鲁佐
穆谢特,,和观,1967,8.4,9881,法国,罗伯特·布列松
铁皮鼓,,和观,1979,8.3,62877,西德,沃尔克·施隆多夫
扒手,,和观,1959,8.3,24226,法国,罗伯特·布列松
钱,,和观,1983,8.3,17786,法国,罗伯特·布列松
驴子巴特萨,,和观,1966,8.3,10526,法国,罗伯特·布列松
白丝带,,和观,2009,8.2,37748,德国,迈克尔·哈内克
圣女贞德的审判,,和观,1962,7.9,3398,法国,罗伯特·布列松
天使爱美丽,,海映传媒,2001,8.7,1001898,法国,让-皮埃尔·热内
灿烂人生,,窗外年华,2003,9.3,80978,意大利,马可·图利奥·吉奥达纳
锁麟囊(京剧),,,2009,9.4,3067,中国大陆,黎涛
哀乐中年,,,1949,9.3,23038,中国大陆,桑弧
姊姊妹妹站起来,,,1951,9.2,22164,中国大陆,陈西禾
花为媒,,,1963,9.2,4359,中国大陆,方荧
红辣椒,,,2006,9,539199,日本,今敏
特写,,,1990,8.9,25946,伊朗,阿巴斯·基亚罗斯塔米
让娜·迪尔曼,,,1975,8.9,15818,比利时,香特尔·阿克曼
游园惊梦,,,1960,8.9,1663,中国大陆,许珂
步履不停,,,2008,8.8,310700,日本,是枝裕和
阮玲玉,,,1991,8.6,134021,中国香港,关锦鹏
柳毅传书,,,1962,8.6,658,中国大陆,蔡振亚
太太万岁,,,1947,8.4,20177,中国大陆,桑弧
搬家,,,1993,8.3,9815,日本,相米慎二
下一站，天国,,,1998,8.1,21195,日本,是枝裕和
宇宙探索编辑部,,,2021,8,676998,中国大陆,孔大山
大腕,,,2001,8,230116,中国大陆,冯小刚
假凤虚凰,,,1947,8,2694,中国大陆,黄佐临
两小无猜,,,2003,7.9,463917,法国,杨·塞谬尔
脐带,,,2022,7.9,29930,中国大陆,乔思雪
说谎世界,,,1950,7.9,358,中国香港,李萍倩
罗曼蒂克消亡史,,,2016,7.7,424472,中国大陆,程耳
艳阳天,,,1948,7.6,644,中国大陆,曹禺
腐蚀,,,1950,7.5,623,中国大陆,黄佐临
夜店,,,1947,7.3,2404,中国大陆,黄佐临
太平春,,,1950,7,543,中国大陆,桑弧
