单元名称,subject_id,type,中文名,年份,片长,评分,评价人数,国家,上映日期(中国大陆),语言,类型,主演,导演,IMDB编号
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,30423539,Movie,阿涅斯论瓦尔达,2019,1H55M,9.2,18229,法国,None,法语,纪录片,阿涅斯·瓦尔达,阿涅斯·瓦尔达,tt9530198
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,26764928,Movie,脸庞，村庄,2017,1H33M,9.1,93677,法国,None,法语,纪录片,阿涅斯·瓦尔达,阿涅斯·瓦尔达,tt5598102
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1301279,Movie,拾穗者,2000,1H22M,9.1,11743,法国,None,法语,纪录片,Jean La Planche,阿涅斯·瓦尔达,tt0247380
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1301432,Movie,101夜,1995,1H41M,7.7,817,英国,None,法语,喜剧,米歇尔·皮科利,阿涅斯·瓦尔达,tt0112654
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1292445,Movie,天涯沦落女,1985,1H45M,8.3,12830,法国,None,法语,剧情,桑德里娜·博内尔,阿涅斯·瓦尔达,tt0089960
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,3563121,Movie,家屋风景,1984,0H28M,8.1,467,法国,None,法语,短片,埃尔威·米姆兰,阿涅斯·瓦尔达,tt0159938
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1763691,Movie,尤利西斯,1982,0H22M,8.5,3753,法国,None,法语,纪录片/短片,Charles de Gaulle,阿涅斯·瓦尔达,tt0161034
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,2238785,Movie,墙的呢喃,1981,1H21M,8.1,799,法国,None,法语,纪录片,朱丽叶·贝尔托,阿涅斯·瓦尔达,tt0081204
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,2972735,Movie,达格雷街风情,1976,1H20M,8.6,1825,法国,None,法语,纪录片,阿涅斯·瓦尔达,阿涅斯·瓦尔达,tt0071384
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1763688,Movie,扬科叔叔,1967,0H18M,8.3,2121,美国,None,英语,短片,Jean Varda,阿涅斯·瓦尔达,tt0179389
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,3067427,Movie,向古巴人致意,1964,0H30M,8.5,1588,法国,None,法语,动画/纪录片/短片,米歇尔·皮科利,阿涅斯·瓦尔达,tt0057466
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1294565,Movie,五至七时的克莱奥,1962,1H30M,8.7,31477,法国,None,法语,剧情/喜剧/音乐,科琳娜·马尔尚,阿涅斯·瓦尔达,tt0055852
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1475183,Movie,走近蓝色海岸,1958,0H25M,8.6,3556,法国,None,法语,纪录片/短片/历史,罗杰·科吉奥,阿涅斯·瓦尔达,tt0051561
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1781001,Movie,穆府的歌剧,1958,0H16M,7.8,1246,法国,None,法语,纪录片/短片,Dorothée Blank,阿涅斯·瓦尔达,tt0052031
2025-04-22 “向大师致敬·阿涅斯·瓦尔达”,1297682,Movie,短岬村,1955,1H21M,7.6,3428,法国,None,法语,剧情,西尔维亚·蒙福尔,阿涅斯·瓦尔达,tt0048499
2025-04-28 “向大师致敬·巴斯特·基顿”,30295871,Movie,了不起的巴斯特,2018,1H42M,8.2,1831,美国,None,英语,纪录片/传记,巴斯特·基顿,彼得·博格丹诺维奇,tt8758548
2025-04-28 “向大师致敬·巴斯特·基顿”,1292963,Movie,船长二世,1928,1H10M,8.6,6096,美国,None,英语,剧情/喜剧/动作/爱情/家庭,巴斯特·基顿,查尔斯·赖斯纳,tt0019421
2025-04-28 “向大师致敬·巴斯特·基顿”,1292778,Movie,将军号,1926,1H7M,9.1,33975,美国,None,无对白,剧情/喜剧/动作/战争/冒险,巴斯特·基顿,巴斯特·基顿,tt0017925
2025-04-28 “向大师致敬·巴斯特·基顿”,1293598,Movie,西行,1925,1H9M,7.9,1661,美国,None,英语,喜剧/西部,巴斯特·基顿,巴斯特·基顿,tt0015863
2025-04-28 “向大师致敬·巴斯特·基顿”,1300352,Movie,七次机会,1925,0H56M,8.9,16256,美国,None,英语,喜剧/爱情,巴斯特·基顿,巴斯特·基顿,tt0016332
2025-04-28 “向大师致敬·巴斯特·基顿”,1303408,Movie,福尔摩斯二世,1924,0H45M,9.4,31940,美国,None,无对白,喜剧/动作/爱情,巴斯特·基顿,巴斯特·基顿,tt0015324
2025-04-28 “向大师致敬·巴斯特·基顿”,1293618,Movie,航海家,1924,0H59M,8.2,3273,美国,None,无对白,喜剧/动作/爱情,巴斯特·基顿,唐纳德·克里斯普,tt0015163
2025-04-28 “向大师致敬·巴斯特·基顿”,1476456,Movie,剧院,1921,0H22M,8.5,2891,美国,None,英语,喜剧/短片/奇幻,巴斯特·基顿,爱德华·克莱因,tt0012570
2025-04-28 “向大师致敬·巴斯特·基顿”,1958170,Movie,替罪羊,1921,0H27M,8.3,2933,美国,None,英语,喜剧/短片,巴斯特·基顿,巴斯特·基顿,tt0012224
2025-04-28 “向大师致敬·巴斯特·基顿”,1867773,Movie,船,1921,0H25M,7.5,1460,美国,None,英语,喜剧/短片/家庭,巴斯特·基顿,爱德华·克莱因,tt0011984
2025-04-28 “向大师致敬·巴斯特·基顿”,1867775,Movie,暗号,1921,0H21M,8.6,3075,美国,None,英语,喜剧/短片,巴斯特·基顿,爱德华·克莱因,tt0012278
