subject_id,type,中文名,celebrity_id,position,celebrity_name,收藏数                         ,性别,星座,出生日期,逝世日期,出生地,职业,更多外文名,更多中文名,imdb编号
1292722,Movie,泰坦尼克号,/celebrity/1022571/,导演,詹姆斯·卡梅隆,25915,男,狮子座,1954-08-16                                           ,N/A,"加拿大,安大略,卡普斯卡辛",制片人 / 编剧 / 导演 / 演员 / 剪辑,Jim(昵称) /Iron Jim(昵称),N/A,nm0000116
1292722,Movie,泰坦尼克号,/celebrity/1041029/,主演,莱昂纳多·迪卡普里奥,112577,男,天蝎座,1974-11-11                                           ,N/A,"美国,加利福尼亚,洛杉矶",演员 / 制片人 / 配音 / 编剧,Lenny D (昵称) /Leo (昵称),小李(昵称) /小李子(昵称),nm0000138
1292722,Movie,泰坦尼克号,/celebrity/1054446/,主演,凯特·温丝莱特,44660,女,天秤座,1975-10-05                                           ,N/A,"英国,伯克郡,雷丁",演员 / 配音,Corset Kate(昵称) /English Rose(昵称),N/A,nm0000701
34938685,Movie,永远的瓦尔辛湖,/celebrity/1438288/,导演,乔娜·吉·万德斯,6,女,N/A,N/A                                           ,N/A,"美国,加州,米尔谷",导演 / 编剧 / 音乐 / 摄影,N/A,N/A,nm1545917
34938685,Movie,永远的瓦尔辛湖,/celebrity/1438288/,主演,N/A,6,女,N/A,N/A,N/A,"美国,加州,米尔谷",导演 / 编剧 / 音乐 / 摄影                                       ,N/A,N/A,nm1545917
34964166,Movie,决胜,N/A,导演,Emmanuel Courcol,0,N/A,N/A,N/A,N/A,N/A,N/A                                       ,N/A,N/A,N/A
34964166,Movie,决胜,/celebrity/1000491/,主演,凯德·麦拉德,611,男,白羊座,1964-03-27                                           ,N/A,"阿尔及利亚,西迪贝勒阿巴斯",演员 / 编剧 / 导演 / 配音,N/A,N/A,nm0580101
34964166,Movie,决胜,/celebrity/1285950/,主演,玛丽娜·汉斯,67,女,摩羯座,1975-01-10                                           ,N/A,法国巴黎,演员,N/A,N/A,nm0359652
1292719,Movie,大路,/celebrity/1054413/,导演,费德里科·费里尼,23829,男,水瓶座,1920-01-20                                           ,1993-10-31,"意大利,艾米利亚-罗马涅,里米尼",编剧 / 导演 / 演员 / 副导演 / 服装,Il Maestro (昵称) /FeFe (昵称),N/A,nm0000019
1292719,Movie,大路,/celebrity/1048161/,主演,安东尼·奎恩,431,男,金牛座,1915-04-21                                           ,2001-06-03,"墨西哥,奇瓦瓦州",演员 / 制片人 / 导演,N/A,N/A,nm0000063
1292719,Movie,大路,/celebrity/1032361/,主演,朱丽叶塔·马西纳,3041,女,双鱼座,1921-02-22                                           ,1994-03-23,"意大利,艾米利亚-罗马涅,博洛尼亚",演员,N/A,N/A,nm0556399
1294343,Movie,卖艺春秋,/celebrity/1054413/,导演,费德里科·费里尼,23829,男,水瓶座,1920-01-20                                           ,1993-10-31,"意大利,艾米利亚-罗马涅,里米尼",编剧 / 导演 / 演员 / 副导演 / 服装,Il Maestro (昵称) /FeFe (昵称),N/A,nm0000019
1294343,Movie,卖艺春秋,/celebrity/1041744/,导演,阿尔贝托·拉图瓦达,111,男,天蝎座,1914-11-13                                           ,2005-07-03,"意大利,米兰",导演 / 编剧 / 演员 / 副导演 / 剪辑,N/A,N/A,nm0490444
1294343,Movie,卖艺春秋,/celebrity/1050972/,主演,佩皮诺·德·菲利波,11,男,处女座,1903-08-24                                           ,1980-01-27,"意大利,那不勒斯",演员 / 编剧 / 制片人,N/A,N/A,nm0208375
1294343,Movie,卖艺春秋,/celebrity/1082944/,主演,卡拉·德尔·波吉奥,69,N/A,水瓶座,1925-02-06                                           ,N/A,"意大利,坎帕尼亚,那不勒斯",演员,N/A,N/A,nm0215744
